path	sentence_id	t1_score_-1	t1_score_0	t1_score_1
sampled-201401-5307.json.eval.json	1	0	0	1
sampled-201401-5307.json.eval.json	2	0	0	1
sampled-201401-5307.json.eval.json	3	0	0	1
sampled-201401-5307.json.eval.json	4	0	0	1
sampled-201401-5307.json.eval.json	5	0	0	1
sampled-201401-5307.json.eval.json	6	0	0	1
sampled-201401-5307.json.eval.json	7	0	0	1
sampled-201401-5307.json.eval.json	8	0	0	1
sampled-201401-5307.json.eval.json	9	0	0	1
sampled-201401-5307.json.eval.json	10	0	0	1
sampled-201401-5307.json.eval.json	11	0	0	1
sampled-201401-5307.json.eval.json	12	0	0	1
sampled-201401-5307.json.eval.json	13	0	0	1
sampled-201401-5307.json.eval.json	14	0	0	1
sampled-201401-5307.json.eval.json	15	0	0	1
sampled-201401-5307.json.eval.json	16	0	0	1
sampled-201401-5307.json.eval.json	17	0	0	1
sampled-201401-5307.json.eval.json	18	0	0	1
sampled-201401-5307.json.eval.json	19	0	0	1
sampled-201401-5307.json.eval.json	20	0	0	1
sampled-201401-5307.json.eval.json	21	0	0	1
sampled-201401-5307.json.eval.json	22	0	0	1
sampled-201401-5307.json.eval.json	23	0	0	1
sampled-201401-5307.json.eval.json	24	0	0	1
sampled-201401-1976.json.eval.json	1	1	0	0
sampled-201401-1976.json.eval.json	2	1	0	0
sampled-201401-1976.json.eval.json	3	1	0	0
sampled-201401-1976.json.eval.json	4	0	0	1
sampled-201401-1976.json.eval.json	5	0	0	1
sampled-201401-1976.json.eval.json	6	0	0	1
sampled-201401-1976.json.eval.json	7	0	0	1
sampled-201401-1976.json.eval.json	8	0	0	1
sampled-201401-1976.json.eval.json	9	0	0	1
sampled-201401-1976.json.eval.json	10	0	0	1
sampled-201401-1976.json.eval.json	11	0	0	1
sampled-201401-1976.json.eval.json	12	0	0	1
sampled-201402-5194.json.eval.json	1	1	0	0
sampled-201402-5194.json.eval.json	2	0	0	1
sampled-201402-5194.json.eval.json	3	0	0	1
sampled-201402-5194.json.eval.json	4	0	0	1
sampled-201402-5194.json.eval.json	5	0	0	1
sampled-201402-5194.json.eval.json	6	0	0	1
sampled-201402-5194.json.eval.json	7	0	0	1
sampled-201402-5194.json.eval.json	8	0	0	1
sampled-201402-5194.json.eval.json	9	0	1	0
sampled-201402-5194.json.eval.json	10	0	0	1
sampled-201402-5194.json.eval.json	11	1	0	0
sampled-201402-5194.json.eval.json	12	1	0	0
sampled-201402-5194.json.eval.json	13	0	0	1
sampled-201402-4105.json.eval.json	1	0	0	1
sampled-201402-4105.json.eval.json	2	0	0	1
sampled-201402-4105.json.eval.json	3	0	0	1
sampled-201402-4105.json.eval.json	4	0	0	1
sampled-201402-4105.json.eval.json	5	0	0	1
sampled-201402-4105.json.eval.json	6	0	0	1
sampled-201402-4105.json.eval.json	7	0	0	1
sampled-201402-4105.json.eval.json	8	1	0	0
sampled-201402-4105.json.eval.json	9	0	0	1
sampled-201402-4105.json.eval.json	10	0	0	1
sampled-201402-4105.json.eval.json	11	0	0	1
sampled-201402-4105.json.eval.json	12	1	0	0
sampled-201402-4105.json.eval.json	13	0	0	1
sampled-201402-4105.json.eval.json	14	0	0	1
sampled-201402-4105.json.eval.json	15	0	0	1
sampled-201402-4105.json.eval.json	16	0	0	1
sampled-201402-4105.json.eval.json	17	0	0	1
sampled-201402-4105.json.eval.json	18	0	0	1
sampled-201402-4105.json.eval.json	19	0	0	1
sampled-201402-4105.json.eval.json	20	0	1	0
sampled-201402-4105.json.eval.json	21	0	0	1
sampled-201402-4105.json.eval.json	22	0	0	1
sampled-201402-4105.json.eval.json	23	0	1	0
sampled-201402-4105.json.eval.json	24	0	0	1
sampled-201402-4105.json.eval.json	25	0	1	0
sampled-201402-4105.json.eval.json	26	0	0	1
sampled-201402-4105.json.eval.json	27	0	0	1
sampled-201402-4105.json.eval.json	28	0	1	0
sampled-201402-1770.json.eval.json	1	0	0	1
sampled-201402-1770.json.eval.json	2	0	0	1
sampled-201402-1770.json.eval.json	3	0	0	1
sampled-201402-1770.json.eval.json	4	0	0	1
sampled-201402-1770.json.eval.json	5	0	0	1
sampled-201402-1770.json.eval.json	6	0	0	1
sampled-201402-1770.json.eval.json	7	0	0	1
sampled-201402-1770.json.eval.json	8	0	0	1
sampled-201402-1770.json.eval.json	9	0	0	1
sampled-201402-1770.json.eval.json	10	0	0	1
sampled-201402-1770.json.eval.json	11	0	0	1
sampled-201402-1770.json.eval.json	12	0	0	1
sampled-201402-1770.json.eval.json	13	0	0	1
sampled-201402-1770.json.eval.json	14	0	0	1
sampled-201402-1770.json.eval.json	15	0	0	1
sampled-201402-1770.json.eval.json	16	0	0	1
sampled-201402-1770.json.eval.json	17	0	0	1
sampled-201402-1770.json.eval.json	18	0	0	1
sampled-201402-1770.json.eval.json	19	0	0	1
sampled-201402-977.json.eval.json	1	0	0	1
sampled-201402-977.json.eval.json	2	0	0	1
sampled-201402-977.json.eval.json	3	0	0	1
sampled-201402-977.json.eval.json	4	0	0	1
sampled-201402-977.json.eval.json	5	0	0	1
sampled-201402-977.json.eval.json	6	0	0	1
sampled-201402-977.json.eval.json	7	0	0	1
sampled-201402-977.json.eval.json	8	0	0	1
sampled-201402-977.json.eval.json	9	0	0	1
sampled-201402-977.json.eval.json	10	0	0	1
sampled-201402-977.json.eval.json	11	0	0	1
sampled-201402-977.json.eval.json	12	1	0	0
sampled-201402-977.json.eval.json	13	1	0	0
sampled-201402-977.json.eval.json	14	0	0	1
sampled-201402-977.json.eval.json	15	0	0	1
sampled-201402-977.json.eval.json	16	0	0	1
sampled-201402-977.json.eval.json	17	0	0	1
sampled-201402-977.json.eval.json	18	0	0	1
sampled-201402-977.json.eval.json	19	0	0	1
sampled-201402-977.json.eval.json	20	0	0	1
sampled-201301-15079.json.eval.json	1	0	0	1
sampled-201301-15079.json.eval.json	2	0	0	1
sampled-201301-15079.json.eval.json	3	0	0	1
sampled-201301-15079.json.eval.json	4	0	0	1
sampled-201301-15079.json.eval.json	5	0	0	1
sampled-201301-15079.json.eval.json	6	1	0	0
sampled-201301-15079.json.eval.json	7	1	0	0
sampled-201301-15079.json.eval.json	8	0	0	1
sampled-201301-15079.json.eval.json	9	0	0	1
sampled-201301-15079.json.eval.json	10	0	0	1
sampled-201301-6264.json.eval.json	1	0	0	1
sampled-201301-6264.json.eval.json	2	0	0	1
sampled-201301-6264.json.eval.json	3	0	0	1
sampled-201301-6264.json.eval.json	4	0	0	1
sampled-201301-6264.json.eval.json	5	0	0	1
sampled-201301-6264.json.eval.json	6	0	0	1
sampled-201301-6264.json.eval.json	7	0	0	1
sampled-201301-6264.json.eval.json	8	0	0	1
sampled-201301-6264.json.eval.json	9	0	0	1
sampled-201301-6264.json.eval.json	10	0	0	1
sampled-201301-6264.json.eval.json	11	0	0	1
sampled-201301-6264.json.eval.json	12	0	0	1
sampled-201301-6264.json.eval.json	13	0	0	1
sampled-201301-6264.json.eval.json	14	0	0	1
sampled-201301-6264.json.eval.json	15	0	0	1
sampled-201301-6264.json.eval.json	16	0	0	1
sampled-201301-6264.json.eval.json	17	0	0	1
sampled-201301-6264.json.eval.json	18	0	0	1
sampled-201301-6264.json.eval.json	19	0	0	1
sampled-201301-6264.json.eval.json	20	0	0	1
sampled-201301-6264.json.eval.json	21	0	0	1
sampled-201301-6264.json.eval.json	22	0	0	1
sampled-201301-6264.json.eval.json	23	0	0	1
sampled-201301-6264.json.eval.json	24	0	0	1
sampled-201301-6264.json.eval.json	25	0	0	1
sampled-201301-6264.json.eval.json	26	0	0	1
sampled-201301-6264.json.eval.json	27	0	0	1
sampled-201301-6264.json.eval.json	28	0	0	1
sampled-201301-6264.json.eval.json	29	0	0	1
sampled-201301-6264.json.eval.json	30	0	0	1
sampled-201301-6264.json.eval.json	31	0	0	1
sampled-201301-6264.json.eval.json	32	0	0	1
sampled-201301-6264.json.eval.json	33	0	0	1
sampled-201301-6264.json.eval.json	34	0	0	1
sampled-201301-6264.json.eval.json	35	0	0	1
sampled-201301-6264.json.eval.json	36	0	0	1
sampled-201301-6264.json.eval.json	37	0	0	1
sampled-201301-6264.json.eval.json	38	0	0	1
sampled-201301-6264.json.eval.json	39	0	0	1
sampled-201301-6264.json.eval.json	40	0	0	1
sampled-201301-6264.json.eval.json	41	0	0	1
sampled-201301-6264.json.eval.json	42	0	0	1
sampled-201301-6264.json.eval.json	43	0	0	1
sampled-201301-6264.json.eval.json	44	0	0	1
sampled-201301-6264.json.eval.json	45	0	0	1
sampled-201301-6264.json.eval.json	46	0	0	1
sampled-201301-6264.json.eval.json	47	0	0	1
sampled-201301-6264.json.eval.json	48	0	0	1
sampled-201301-6264.json.eval.json	49	0	0	1
sampled-201301-6264.json.eval.json	50	0	0	1
sampled-201301-6264.json.eval.json	51	0	0	1
sampled-201301-6264.json.eval.json	52	0	0	1
sampled-201401-1233.json.eval.json	1	0	0	1
sampled-201401-1233.json.eval.json	2	0	0	1
sampled-201402-4012.json.eval.json	1	0	0	1
sampled-201402-4012.json.eval.json	2	0	0	1
sampled-201402-4012.json.eval.json	3	0	0	1
sampled-201402-4012.json.eval.json	4	0	0	1
sampled-201402-4012.json.eval.json	5	0	0	1
sampled-201402-4012.json.eval.json	6	0	0	1
sampled-201402-4012.json.eval.json	7	0	0	1
sampled-201402-4012.json.eval.json	8	0	0	1
sampled-201402-4012.json.eval.json	9	0	0	1
sampled-201402-4012.json.eval.json	10	0	1	0
sampled-201402-4012.json.eval.json	11	0	1	0
sampled-201402-4012.json.eval.json	12	0	0	1
sampled-201402-4012.json.eval.json	13	0	0	1
sampled-201402-4489.json.eval.json	1	0	0	1
sampled-201402-4489.json.eval.json	2	0	1	0
sampled-201402-4489.json.eval.json	3	0	0	1
sampled-201402-4489.json.eval.json	4	0	0	1
sampled-201402-4489.json.eval.json	5	0	0	1
sampled-201402-4489.json.eval.json	6	1	0	0
sampled-201402-4489.json.eval.json	7	1	0	0
sampled-201402-4489.json.eval.json	8	0	0	1
sampled-201402-4489.json.eval.json	9	0	0	1
sampled-201402-4489.json.eval.json	10	0	0	1
sampled-201402-4489.json.eval.json	11	0	0	1
sampled-201402-4489.json.eval.json	12	0	0	1
sampled-201303-190.json.eval.json	1	0	0	1
sampled-201303-190.json.eval.json	2	0	0	1
sampled-201303-190.json.eval.json	3	1	0	0
sampled-201303-190.json.eval.json	4	1	0	0
sampled-201303-190.json.eval.json	5	0	0	1
sampled-201303-190.json.eval.json	6	0	0	1
sampled-201303-190.json.eval.json	7	0	0	1
sampled-201303-190.json.eval.json	8	0	0	1
sampled-201303-190.json.eval.json	9	1	0	0
sampled-201303-190.json.eval.json	10	1	0	0
sampled-201303-190.json.eval.json	11	0	0	1
sampled-201303-190.json.eval.json	12	0	0	1
sampled-201303-190.json.eval.json	13	0	0	1
sampled-201303-190.json.eval.json	14	0	0	1
sampled-201302-15116.json.eval.json	1	0	1	0
sampled-201302-15116.json.eval.json	2	0	1	0
sampled-201302-15116.json.eval.json	3	0	1	0
sampled-201302-15116.json.eval.json	4	0	1	0
sampled-201302-15116.json.eval.json	5	0	1	0
sampled-201302-15116.json.eval.json	6	0	1	0
sampled-201302-15116.json.eval.json	7	0	1	0
sampled-201302-15116.json.eval.json	8	0	1	0
sampled-201302-15116.json.eval.json	9	0	0	1
sampled-201302-15116.json.eval.json	10	0	0	1
sampled-201302-2893.json.eval.json	1	0	0	1
sampled-201302-2893.json.eval.json	2	0	0	1
sampled-201302-2893.json.eval.json	3	0	0	1
sampled-201302-2893.json.eval.json	4	0	0	1
sampled-201302-2893.json.eval.json	5	0	0	1
sampled-201302-2893.json.eval.json	6	0	0	1
sampled-201302-2893.json.eval.json	7	0	0	1
sampled-201302-2893.json.eval.json	8	0	0	1
sampled-201302-2893.json.eval.json	9	0	0	1
sampled-201303-17881.json.eval.json	1	0	1	0
sampled-201303-17881.json.eval.json	2	1	0	0
sampled-201303-17083.json.eval.json	1	0	0	1
sampled-201303-17083.json.eval.json	2	0	0	1
sampled-201303-17083.json.eval.json	3	0	0	1
sampled-201303-17083.json.eval.json	4	0	0	1
sampled-201303-17083.json.eval.json	5	0	0	1
sampled-201302-15823.json.eval.json	1	0	0	1
sampled-201401-2666.json.eval.json	1	0	0	1
sampled-201401-2666.json.eval.json	2	1	0	0
sampled-201401-2666.json.eval.json	3	1	0	0
sampled-201401-2666.json.eval.json	4	0	0	1
sampled-201401-2666.json.eval.json	5	0	0	1
sampled-201401-2666.json.eval.json	6	0	0	1
sampled-201401-2666.json.eval.json	7	0	0	1
sampled-201401-2666.json.eval.json	8	0	0	1
sampled-201401-2666.json.eval.json	9	0	0	1
sampled-201401-3370.json.eval.json	1	0	0	1
sampled-201401-3370.json.eval.json	2	0	1	0
sampled-201401-3370.json.eval.json	3	0	0	1
sampled-201401-3370.json.eval.json	4	0	1	0
sampled-201401-3370.json.eval.json	5	0	0	1
sampled-201401-3370.json.eval.json	6	0	0	1
sampled-201401-3370.json.eval.json	7	0	0	1
sampled-201401-3370.json.eval.json	8	0	0	1
sampled-201401-3370.json.eval.json	9	0	0	1
sampled-201401-3370.json.eval.json	10	0	0	1
sampled-201401-3370.json.eval.json	11	0	0	1
sampled-201401-3370.json.eval.json	12	0	0	1
sampled-201302-3097.json.eval.json	1	0	0	1
sampled-201302-3097.json.eval.json	2	0	0	1
sampled-201302-3097.json.eval.json	3	0	0	1
sampled-201302-3097.json.eval.json	4	0	0	1
sampled-201302-3097.json.eval.json	5	0	0	1
sampled-201302-3097.json.eval.json	6	0	0	1
sampled-201302-3097.json.eval.json	7	0	0	1
sampled-201302-3097.json.eval.json	8	0	0	1
sampled-201302-3097.json.eval.json	9	0	0	1
sampled-201302-3097.json.eval.json	10	0	0	1
sampled-201302-3097.json.eval.json	11	0	0	1
sampled-201302-5310.json.eval.json	1	0	0	1
sampled-201302-5310.json.eval.json	2	0	0	1
sampled-201302-5310.json.eval.json	3	0	0	1
sampled-201302-5310.json.eval.json	4	0	0	1
sampled-201302-5310.json.eval.json	5	0	0	1
sampled-201302-5310.json.eval.json	6	0	0	1
sampled-201302-5310.json.eval.json	7	0	0	1
sampled-201302-5310.json.eval.json	8	0	0	1
sampled-201302-12470.json.eval.json	1	0	0	1
sampled-201302-12470.json.eval.json	2	0	0	1
sampled-201302-12470.json.eval.json	3	0	0	1
sampled-201302-12470.json.eval.json	4	0	0	1
sampled-201401-13722.json.eval.json	1	0	0	1
sampled-201401-13722.json.eval.json	2	0	0	1
sampled-201401-13722.json.eval.json	3	0	0	1
sampled-201401-13722.json.eval.json	4	0	0	1
sampled-201401-13722.json.eval.json	5	1	0	0
